hp= 2 x (strength) + 20, pp= (strength) x 1.5
lvl 1= (4) hp 28, pp 6
2= (8) 36, 12
3= (10) 40, 15
4= (13) 46, 20
5= (16) 52, 24
6= (19) 58, 29
7= (22) 62, 33
8= (26) 72, 39
9= (30) 80, 45
10= (34) 88, 51
11= (35) 90, 53
12= 36) 92, 54
13= 38) 96, 57
14= 39) 98, 59
15= 40) 100, 60
16= 42) 104, 63
17= 43) 106, 65
18= 44) 108, 66
19= 45) 110, 68
20= 46) 112, 69
21= 47) 114, 71
22= 48) 116, 72
23= 49) 118, 74
24= 50) 120, 75
25= 52) 124, 78
26= 54) 128, 81
27= 55) 130, 83
28= 57) 134, 86
29= 58) 136, 87
30= 60) 140, 90
31= 61) 142, 92
32= 62) 144, 93
33= 63) 146, 95
34= 64) 148, 96
35= 65) 150, 98
36= 66) 152, 99
37= 67) 154, 101
38= 69) 158, 104
39= 71) 162, 107
40= 74) 168, 111
